Placa,Tiene_Infraccion
ESY537,No
ZNN166,No
TTX829,No
EQZ452,No
TUN561,Sí
LJZ907,No
UQD910,No
TGA433,No
JKX438,Sí
WCS339,No
QIS200,No
LJT105,No
EQW784,No
WMA631,No
TOD410,No
SZY399,No
SKX004,No
JUZ834,Sí
WMM348,No
WGL043,No
UFW957,Sí
SXM175,No
NNL162,No
NHU315,No
LJO349,No
JKV602,No
EXZ774,No
ESP508,Sí
EQQ850,No
VEE335,Sí
TTS991,No
TGV726,Sí
LKL911,No
WNO243,No
NHP223,No
JOV663,Sí
GTX611,No
EXZ944,No
WNY653,No
WDG938,No
TSP520,No
STZ456,Sí
SPX738,Sí
SMV627,No
TEP052,No
LKK014,Sí
NNM425,No
FSU588,No
FST523,No
WDC591,Sí
SXM588,No
SSY761,No
KSP951,No
ETK746,Sí
WFD915,No
WFD131,No
TTR522,No
NOY157,Sí
WPQ799,Sí
WNX844,No
LKK784,No
LJO350,No
ERK387,No
WDZ331,Sí
UFU809,Sí
THY181,No
SZO941,No
SWL050,No
GQV676,Sí
ESK619,No
WEQ297,Sí
TRM736,No
LZM577,Sí
WOY874,Sí
GUU836,Sí
GET847,Sí
WCZ972,No
GZZ857,No
SPO290,Sí
NYO792,Sí
JKU668,No
WPV128,No
WDL934,Sí
WCP272,No
SVO075,Sí
NOS733,No
LUW983,No
LPZ516,No
TRF847,No
SOS853,Sí
SNO626,No
SNO145,No
SKN388,Sí
PSX740,No
JZX564,No
GDY574,Sí
WNO124,No
WGQ476,No
WCX265,No
STA866,No
SMD856,No
LKO727,No
JYX091,No
JUX968,No
EST956,Sí
ESQ591,No
ESP281,No
WLM857,Sí
NUX055,No
LQO729,Sí
LQK000,No
GTX463,No
GFP653,Sí
VCY513,No
TSM150,Sí
TMI404,No
TLU478,Sí
SZM221,No
NYP103,No
NOK542,No
LWL881,Sí
LUL709,No
LLQ395,No
LLO966,Sí
KPO508,Sí
JYN835,No
FST838,No
EQT298,No
WOL840,No
WCR310,Sí
VMU126,Sí
UYR093,Sí
TTY941,No
TDY741,No
STE339,Sí
PSX242,No
PPK032,No
PMX122,No
PMV091,No
PIM972,No
NUX247,No
NNN746,No
NNM926,No
LZM051,No
LPZ956,No
LGU675,Sí
JKU985,Sí
GFP705,No
ETM699,No
ESQ654,No
ERL196,No
ZNN180,No
WOS459,No
WNK333,Sí
UPP189,Sí
TZT189,No
SXY623,Sí
SNW350,No
QKL131,No
PMW694,No
NUX275,No
NOX262,Sí
NOL479,No
NHP357,No
LZO544,No
LZO543,No
LZM008,No
LPY374,Sí
LKK700,No
LCO286,No
GUU937,No
GFP808,No
GDX671,No
EXX783,No
ESP247,No
EQX301,No
EQP170,Sí
ZNM324,Sí
WNS957,No
WNQ087,Sí
WMB140,No
WHQ652,No
WEP072,Sí
WEM371,No
WCU136,Sí
VEZ337,Sí
UZC558,No
TZQ129,No
TTY711,No
TTQ056,No
TLM383,Sí
THY044,Sí
SZO832,No
SXO219,Sí
SXN578,No
SWN807,No
SNX566,No
SNW655,No
SNP962,Sí
SMO220,Sí
SMJ086,No
QJX149,No
NIN629,No
LZO078,No
LSX277,No
LQK433,No
LQK289,No
LCM364,Sí
KPO835,Sí
JYY141,Sí
GUU774,No
GTX705,Sí
GTU844,No
EXZ938,Sí
ETM761,No
EQW904,No
ZNM999,Sí
XMC932,No
WGW527,No
WEP458,Sí
UPP412,No
TTT623,No
SZX311,No
SZQ084,No
SUF876,No
STV582,No
SRX390,No
SOZ780,No
SOZ070,No
QIR992,No
PXK055,No
NUX019,No
LKL371,Sí
LJS089,Sí
LJR979,Sí
KSQ455,No
JZX463,Sí
JUY288,Sí
JSN066,No
JKX440,No
INI052,No
GZZ477,No
GQU300,No
GFQ563,Sí
GFQ480,No
GFP658,Sí
FSU605,No
ETK765,No
ESQ145,No
EQY854,Sí
WLL613,No
WEV699,No
WCZ181,Sí
WCW770,Sí
VCW918,No
TVC345,Sí
TVB297,No
TTP717,No
TSM364,No
TRM436,Sí
TMX556,Sí
TMX032,No
THY358,Sí
TDZ554,No
SZK255,Sí
SXM599,No
SXH081,No
STZ031,Sí
STS628,Sí
SLP036,Sí
QJY379,Sí
QIS171,No
PUN609,No
PSX688,No
NNM628,No
NLX215,No
LZR714,Sí
LQO574,No
LGV016,No
LFV539,No
KNM144,Sí
GEU399,Sí
GDX110,No
FVM045,No
FSV204,Sí
FRR551,No
ESR405,No
ERK118,Sí
EQY089,No
EQP225,Sí
BDH192,Sí
WPS410,Sí
WPN172,Sí
WOT458,No
WNQ145,No
WNO038,Sí
WNO001,No
WNK004,Sí
WLM132,No
WFQ931,No
WEW001,Sí
WDX358,No
WDG946,No
WCN086,Sí
VEQ337,No
VEM448,Sí
UYY797,Sí
TZS238,No
TZO140,Sí
TTS188,No
TRO040,No
TJZ041,Sí
SZT934,Sí
SXJ639,No
SXJ595,No
SOZ620,No
SOQ899,Sí
SOF069,No
QJX670,No
PRZ347,No
NOW529,No
LUM592,Sí
LQL239,No
LIK662,No
LGU420,Sí
KPO778,Sí
KOK237,Sí
KNZ334,Sí
JYO475,No
JVK497,No
JOW998,Sí
GTU929,Sí
GTU928,No
GDY740,Sí
FSV089,No
FSU687,Sí
ZNN110,No
WPL931,Sí
WOV135,Sí
WOU918,Sí
WOM943,Sí
WLQ264,No
WLK413,No
WGX074,No
WFR160,No
WER237,Sí
USB116,No
UPP464,No
TZS148,No
TZR811,No
TSW360,No
TMU489,Sí
TMP430,Sí
TLZ147,No
TGN794,No
TAL927,No
SXM058,No
STB974,No
SNN865,Sí
PMV793,No
MQE828,Sí
LZO302,No
LPZ592,No
LKO261,No
LCM439,Sí
JYO134,No
JUZ554,Sí
JUZ275,No
JTZ642,Sí
JTZ076,Sí
JPP646,Sí
JKW071,Sí
JKW010,No
JKV431,No
GTW866,Sí
ETM472,No
EST777,No
ESP583,No
ERK732,No
EQY179,No
EQQ531,No
EQQ128,No
BEM601,No
BAZ035,No
YAQ634,Sí
XGD416,Sí
WPR256,Sí
WOV393,Sí
WMQ505,No
WLW584,Sí
WFH333,No
WCT747,Sí
VCS853,No
VAK608,Sí
UPR011,Sí
TVB624,No
TUP066,No
TUK079,No
TTQ213,Sí
TJW591,No
TFO776,Sí
SZO471,No
SXY067,No
SXJ777,No
SXF511,No
SNN787,Sí
QJX612,No
PPQ485,Sí
PPK305,No
NUX039,No
LXU015,No
LTL336,No
LMM883,Sí
LJT330,No
LJT168,No
LCO641,Sí
KSK257,No
JOX182,No
JKV740,Sí
JKV416,No
ERL531,No
WPS022,Sí
WOU066,Sí
WNN625,No
WLM782,No
WHX766,No
WDX360,Sí
WDE143,Sí
VAK658,No
TZN770,No
TGZ489,No
TGV737,No
SZV675,No
SXJ756,No
SVO526,No
SNW691,Sí
SMD397,No
PMV936,No
NNM630,Sí
NHT907,Sí
LZU151,No
LZO398,Sí
LZN683,No
LLQ977,No
LKL526,No
JYY125,No
JUZ400,Sí
JOW055,No
JKU643,No
GFP817,No
GES634,Sí
GDW038,No
EXZ087,Sí
WPT166,No
WOY999,No
WNY861,No
WCR182,No
TTZ614,Sí
TTT782,No
TOR004,No
TKI699,Sí
STE397,Sí
SPP758,No
SNN056,Sí
SMD254,Sí
NOX757,Sí
NNL322,No
NNL110,No
NLW709,Sí
NHR253,No
NHQ520,No
MYS150,Sí
MMO588,Sí
LPZ918,No
LLQ883,Sí
LKP143,Sí
JYO144,No
JUY146,No
JTQ118,Sí
JSL403,Sí
JOX139,No
GUQ936,No
GTW929,No
FSU773,No
ESQ161,No
EQZ671,Sí
EQZ193,No
EQO888,No
WLV158,No
WHO133,Sí
WFQ573,No
VAK274,No
TZQ077,No
TUL381,No
SZP736,Sí
SXR323,No
SQK317,Sí
SPM054,No
SOP422,No
SNS432,No
NOS934,Sí
NOS667,No
LWL696,No
LUN637,No
LJU396,No
JUZ579,No
JUX860,Sí
JTZ198,Sí
JKV824,No
GQV329,Sí
GKP054,Sí
EYY035,No
WON346,Sí
WLY836,Sí
WCQ485,No
UFT782,No
TEP507,Sí
SPS668,Sí
SPN270,No
SNU453,No
QCB660,No
PSY406,No
PMW103,No
NNN040,No
LUW430,Sí
LUL645,No
LLL365,No
KUN468,No
JKW155,Sí
GZZ800,No
GUU978,No
GTW953,Sí
GTU384,No
GDW540,No
FST215,Sí
ETM861,No
ETL004,No
ESY642,No
EQX006,No
EQQ496,No
WZH997,No
WLS013,No
WEF404,No
UQR378,No
TTX958,No
SZY972,Sí
SUF418,No
SPQ082,No
SMY760,Sí
QFL693,Sí
POP089,No
NYO950,No
NNL109,No
LQK952,No
GTW959,Sí
GQV149,Sí
GDW590,No
ESR806,Sí
ESR600,No
ESP944,No
WLQ908,Sí
WGO968,Sí
WFQ930,Sí
WFD796,No
WCK096,Sí
TDW562,Sí
SZO607,No
SXN405,Sí
SVF458,No
SNP517,Sí
SMP894,Sí
PMX502,No
NTZ207,Sí
NOY181,Sí
NOS858,Sí
LUM833,No
JYO083,Sí
JRY785,No
JOW385,Sí
GTU252,Sí
EYY451,No
ESY343,Sí
WOU342,No
WGQ023,No
WFD693,No
TVB989,No
TRL629,No
THX393,No
SZO608,Sí
SLP302,No
SLH928,No
NUY442,No
NUV669,No
NNM095,No
LJS727,No
LCM555,Sí
JYX977,No
JVK499,No
GKO842,No
EXU724,Sí
ERL642,No
EQW864,No
WOY680,No
WHN685,No
UFT310,Sí
TTY726,No
TTS478,No
TTO846,No
TRM374,No
SZV846,No
SXJ705,Sí
STQ504,No
STA418,No
PKK485,Sí
KSK735,No
JOW646,No
GTU642,No
WLS226,No
WHX622,No
WGW632,No
WCX008,No
VSC771,Sí
VCU545,Sí
TRG958,Sí
SQD833,No
SKN118,No
NUY539,No
NUY379,Sí
NUY256,No
NOX639,No
NNL909,Sí
NHP328,No
LPL317,No
JPP233,No
JKW089,No
GDX996,No
ESQ992,Sí
CIP634,No
WOW314,No
VDX270,Sí
TAT219,No
SVB734,Sí
STA893,No
PSY404,No
NOX989,No
NOK540,Sí
NNZ771,No
NHU187,No
NHQ035,No
LUM894,Sí
LJU467,Sí
LJT039,Sí
EYX107,No
ETT812,Sí
ESQ124,Sí
ZNL928,No
WLY589,No
TVA880,Sí
TSX303,No
TLK229,No
TGW138,No
SXO895,Sí
SWQ091,No
SQW573,Sí
SPO883,No
PMX732,No
ONG956,No
LUL469,Sí
LKO344,Sí
JYO277,Sí
JUD630,No
GQW304,No
ERK321,Sí
WPK509,No
WEH129,No
VAK043,Sí
TZS564,No
SZL785,Sí
PRY876,No
NOK633,Sí
NNN010,Sí
NGY606,No
LUM659,No
LQK519,Sí
LPL459,No
KOL576,No
CEA316,Sí
WNR066,No
WLR274,Sí
VAK406,No
UFW409,No
SZY013,No
SXE238,No
SPU333,Sí
SPH237,No
SOD421,No
QJX046,Sí
LWL602,No
LQK291,Sí
JYO812,No
JKW090,No
JKW076,No
EXZ424,No
ESS277,Sí
WOT464,No
WCX454,No
VAK418,No
UZC170,Sí
TLN661,No
TGX699,No
TAO608,No
QJL242,No
PSY383,No
PPQ669,No
PMV808,Sí
NXY777,No
NUZ194,Sí
NUY994,No
NHP889,No
KUL744,No
JVM396,No
ESS680,Sí
EQP651,No
WNX830,Sí
WHX533,No
UPQ093,No
TMX959,Sí
SZM743,No
SWO285,No
QJX576,No
QIS341,No
PPK094,No
NPR954,No
LZS022,Sí
LUL616,No
LQK306,Sí
KOL823,Sí
JVK073,No
JTZ880,Sí
JPP428,Sí
JOV894,No
JOU580,No
GUR940,No
GQW056,No
GEV248,Sí
GDX886,No
EXZ456,No
EXX656,No
ETK658,No
ERL041,No
EQZ028,No
EQX122,No
WPK641,No
WOT307,No
WNY457,No
WLY916,No
WLR621,No
SZU063,No
SWN879,No
SRM869,No
SOO945,No
QIS389,No
NUU940,No
NSQ664,No
NOL349,Sí
NOL241,Sí
LUN238,No
LLP054,No
LJT371,No
LCS841,No
JUZ943,Sí
GQV409,Sí
FSV918,Sí
EXZ834,Sí
EQZ440,No
WOU915,No
WLS495,Sí
WFI215,No
VAK241,No
USD031,No
TZT188,Sí
TVC323,No
TRL614,No
TGL412,No
QJY210,No
QJX733,No
PSX319,No
PMV254,No
PMU783,No
NUY404,No
NOX381,No
NLW289,No
NHR727,Sí
LZN887,Sí
LPZ941,No
LKN202,No
LKM307,No
LIK423,No
KSQ758,Sí
KSO710,No
KPO936,Sí
JVK326,Sí
JTZ396,No
JTY544,Sí
JSL460,No
JRY779,No
GZZ997,No
GZZ617,No
GES514,No
GDZ077,Sí
GDZ076,No
FSU246,No
FSU056,No
EQZ274,Sí
XFA773,Sí
WOT459,No
WCN734,Sí
TSX494,No
TRJ002,No
TRH628,Sí
TLN569,Sí
TEK652,Sí
SXZ490,Sí
SVM713,Sí
SVF332,No
SRM845,No
SRM325,No
SNM321,No
SLG015,No
SLE976,No
SKR610,No
QJX058,No
QIS093,No
POZ396,Sí
PMU914,No
PMU892,No
NUX931,No
NOW076,Sí
NLX288,No
LWL773,No
LPM454,No
LKL404,No
LCN429,No
LCN008,No
LCL973,No
KSQ584,Sí
KNY927,No
KNK822,No
JTZ450,No
JLL389,No
GZZ873,No
GVX989,Sí
GVR862,No
GUU114,Sí
GQU187,No
GFQ652,Sí
FRR608,Sí
EXX369,No
WPS675,No
WOY873,Sí
WOY607,No
WNX925,Sí
WML419,Sí
WLY962,Sí
WGV721,Sí
WDC201,Sí
UYR444,Sí
TZW644,Sí
TZS194,Sí
TST370,No
TLY116,Sí
TLM517,No
TKH986,Sí
TBZ226,No
SXY102,Sí
SWM783,Sí
SVM956,No
SVD935,No
SNO158,No
PXK643,No
PSY057,No
PSY034,No
POP166,No
PMX542,No
PMT670,No
NUZ243,No
NUV403,No
NOX685,Sí
NOL023,Sí
NOK819,No
NNV111,No
NHT032,Sí
LQL089,Sí
LPZ942,No
LPZ319,No
LLL228,Sí
LJU399,Sí
KZV867,No
KUM340,No
KOL715,Sí
KNM003,No
JVK282,No
JUK062,No
JTZ833,No
JSL260,Sí
JOX203,No
GQW184,No
GQV788,No
GEV007,No
GEU495,Sí
EXZ076,No
ESY129,No
ERK662,Sí
EQQ358,No
ZNN696,Sí
ZNL240,No
ZNL115,No
ZAP907,No
YHK286,No
WZI291,No
WPX164,Sí
WOU965,No
WOU853,Sí
WOU823,No
WOO448,Sí
WNY176,No
WMN202,No
WLY307,No
WLR613,No
WLL592,Sí
WLB795,No
WFV945,Sí
WEP554,Sí
WDV222,Sí
WDG381,No
VNB925,Sí
VAK594,Sí
USA921,No
UPO673,No
UFZ702,Sí
TZW721,No
TZT231,Sí
TTY714,No
TTR413,No
TSV192,No
TSM537,No
TRJ335,No
TMZ037,No
TLY182,Sí
TLX883,No
TLP643,Sí
THX454,No
TGM488,No
TGL410,Sí
TGA171,No
TDY075,Sí
SZS899,No
SZK853,Sí
SXF807,Sí
SWN188,Sí
SVO039,No
SVA764,Sí
STZ008,No
SPW311,No
SPM266,No
SOS685,Sí
QJY024,No
QJL106,No
PXK091,No
PSY171,Sí
PRZ792,No
PPQ478,No
PPK172,No
POZ508,No
PMX668,No
PMX071,No
PMV792,No
PMU798,No
NYK182,No
NOX428,No
NNN748,No
NNN742,No
NNN224,Sí
NNN037,No
NNM362,Sí
NLX788,No
NHR992,No
NHR276,No
NHR060,No
LZL982,Sí
LUM917,No
LUM410,Sí
LUL448,Sí
LQK316,Sí
LPZ825,No
LPZ366,No
LPK647,Sí
LLL470,No
LJS693,Sí
LGL662,No
LCO410,Sí
LCO216,No
LCO067,No
LCN977,No
LCN000,No
LCM524,No
KUN446,No
KSQ647,Sí
KSQ338,No
KSP206,Sí
KSO496,No
KOL487,No
KOK286,Sí
KNK657,Sí
KNK626,No
KMY719,No
JYY208,No
JYW646,No
JOV639,Sí
JKX483,No
JKV348,No
JKU357,No
GZZ183,No
GUR521,No
GHU161,No
GEU279,No
FSU351,No
FST811,Sí
FST533,No
ETM857,Sí
ESY176,No
ESX968,No
ESX782,No
ZNN796,No
ZNN138,No
ZNN113,No
ZNN082,Sí
ZNM692,Sí
WRD449,No
WOU520,No
WOT197,Sí
WOP157,No
WON760,No
WOK552,Sí
WNN172,Sí
WLY488,No
WLS662,No
WLL137,No
WGC270,Sí
WFV830,No
WFL573,No
WFC182,Sí
WDR551,No
WDM230,No
WDM190,No
WDL490,No
WDL167,No
WCR643,No
WCR465,No
WCP307,No
WCP289,No
VOF930,No
VKE513,No
VEK381,No
VEI667,Sí
VDQ268,No
VCD968,No
VBL966,No
VAK647,No
UYU522,No
UAP644,No
TZW736,No
TZQ912,No
TZQ663,No
TUK199,Sí
TTY174,No
TTQ784,No
TSW843,No
TSQ023,Sí
TRM143,No
TRK632,No
TRG280,Sí
TRD634,No
TRC839,Sí
TPQ055,No
TOK044,Sí
TND085,No
TMU691,Sí
TLM698,No
TLK371,No
TJY904,No
THY778,Sí
THS186,No
TGT072,Sí
TEW075,No
TEO300,No
TEK677,No
TDK279,Sí
TAX252,Sí
TAM274,No
SZY670,Sí
SZY413,No
SZX363,No
SZU042,Sí
SZS944,No
SZQ267,Sí
SZP468,Sí
SZK560,No
SYT881,No
SXW833,No
SXV253,No
SXV109,No
SWQ184,Sí
SWM380,No
SWM220,No
SWM036,No
SVO042,No
SVM813,Sí
SVM787,No
SVM777,No
SVM538,No
SVD960,Sí
SVC271,Sí
SUD606,No
STP365,Sí
STE565,Sí
SRO150,No
SRM818,No
SQX944,No
SPZ357,Sí
SPW377,Sí
SPO547,No
SOI156,Sí
SNY924,No
SML919,Sí
SMG119,No
SLI941,Sí
SLG018,No
QJX971,Sí
QJX283,No
QJX074,No
QIZ630,No
QFR144,No
PXK183,No
PWR125,No
PWR122,No
PUM479,No
PSY052,No
PSX823,No
PSX488,Sí
PRZ650,Sí
PRZ192,No
PRY872,No
PRY725,No
POP007,Sí
PMX760,Sí
PMX552,No
PMW350,Sí
PMW149,No
PMT913,No
NXY757,Sí
NXR318,No
NUZ186,No
NUY516,Sí
NUX999,Sí
NUX315,No
NUX286,Sí
NUW747,No
NUT966,Sí
NTZ171,Sí
NOW875,No
NOW128,Sí
NOW049,No
NOL561,No
NOL030,No
NOL022,No
NNN169,No
NNL497,No
NNL065,No
NNL052,Sí
NLX859,No
NHP448,No
NHP192,No
LZN630,Sí
LZL916,No
LZL786,Sí
LUM923,No
LUM872,No
LUM459,Sí
LUM371,Sí
LRN833,No
LQK704,No
LQK453,No
LMM797,No
LLQ467,No
LLO597,Sí
LLL358,Sí
LLL220,Error
LJU814,No
LJU336,No
LJT498,No
LGL499,No
LFV742,No
LFV515,Sí
LCO291,Sí
LCN711,Sí
LCN229,No
LCN208,No
LCN193,No
LCM960,Sí
LCM950,No
LCM856,Sí
LCM652,No
KZV854,No
KTM896,Sí
KSR140,No
KSR028,No
KSQ946,Sí
KSP838,Sí
KSP577,No
KSP489,No
KSO670,No
KOL762,No
KNZ650,Sí
KNZ360,Sí
KNL098,No
KNK588,No
JYY230,No
JYX205,No
JYW724,Sí
JYO901,No
JVM051,Sí
JUZ914,No
JUZ512,No
JUY934,No
JUK042,No
JTZ737,Sí
JTZ578,Sí
JTZ398,Sí
JTY713,No
JSL850,Sí
JRR770,No
JRR738,No
JPP301,No
JOW827,No
JOV766,Error
JOV231,No
JOV013,No
JKW508,No
JKV364,No
